epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,739.349,1.49408,2.18505,1.53049,1.22057,0.317,0.43987,0.40845,0.24034,0.8475,0.33711,0.42689,0.21382,1.75435,2.46055,2.07645,1.46936,0.000525381,0.000525381,0.000525381
66,750.303,1.4635,2.20564,1.54226,1.22789,0.3184,0.36025,0.37248,0.20958,0.40049,0.40967,0.3968,0.19403,1.80971,2.68403,2.08548,1.46824,0.000521574,0.000521574,0.000521574
67,761.593,1.48544,2.15513,1.52278,1.22326,0.61427,0.4064,0.39465,0.2292,0.47813,0.36543,0.36637,0.19977,1.69924,2.57521,2.10551,1.43922,0.000517768,0.000517768,0.000517768
68,772.804,1.47212,2.1603,1.51167,1.23244,0.34699,0.39919,0.34807,0.20639,0.35968,0.38088,0.38147,0.18871,1.81659,2.57539,2.16245,1.50494,0.000513961,0.000513961,0.000513961
69,783.702,1.45414,2.15513,1.50556,1.21869,0.28824,0.42661,0.34412,0.19926,0.35486,0.40362,0.35541,0.18019,1.8812,2.63862,2.31804,1.59792,0.000510155,0.000510155,0.000510155
70,794.979,1.44108,2.12841,1.45094,1.20267,0.4235,0.36724,0.40151,0.19649,0.40042,0.33368,0.35132,0.17912,1.83108,2.65919,2.1739,1.54804,0.000506348,0.000506348,0.000506348
71,806.2,1.46102,2.188,1.49303,1.20717,0.64719,0.33935,0.39082,0.21149,0.4906,0.36134,0.40752,0.201,1.91888,2.6448,2.23694,1.5637,0.000502541,0.000502541,0.000502541
72,817.238,1.42216,2.12399,1.46034,1.20003,0.35125,0.4943,0.40687,0.22582,0.52327,0.39698,0.4415,0.21558,1.80162,2.54255,2.0322,1.47033,0.000498735,0.000498735,0.000498735
73,828.545,1.43973,2.08062,1.4291,1.19474,0.4744,0.35411,0.34934,0.19736,0.48451,0.36721,0.34769,0.18034,1.83746,2.53575,2.21443,1.47206,0.000494928,0.000494928,0.000494928
74,839.882,1.4602,2.10192,1.46773,1.19785,0.39019,0.38692,0.36665,0.19762,0.39827,0.3971,0.35838,0.18426,1.83948,2.7141,2.16591,1.51701,0.000491122,0.000491122,0.000491122
75,850.858,1.43844,2.12196,1.43528,1.19651,0.41358,0.32736,0.35697,0.21016,0.48796,0.37408,0.42028,0.19736,1.75394,2.49095,2.12479,1.47134,0.000487315,0.000487315,0.000487315
76,862.071,1.43113,2.13689,1.44315,1.18933,0.32024,0.41647,0.36443,0.19351,0.35347,0.46927,0.43377,0.21443,1.88323,2.67405,2.10482,1.53487,0.000483509,0.000483509,0.000483509
77,873.322,1.4161,2.08367,1.42089,1.19258,0.3416,0.48429,0.39833,0.23775,0.39901,0.40265,0.41319,0.22823,1.76133,2.47665,2.05426,1.43894,0.000479702,0.000479702,0.000479702
78,884.404,1.4008,2.03806,1.40404,1.18145,0.4242,0.50782,0.42344,0.2223,0.4087,0.39412,0.39835,0.20467,1.82736,2.51527,1.96395,1.46738,0.000475896,0.000475896,0.000475896
79,895.853,1.3905,2.00576,1.3917,1.17894,0.4921,0.43542,0.38889,0.21693,0.47059,0.43778,0.39319,0.20311,1.72818,2.65727,2.07295,1.43662,0.000472089,0.000472089,0.000472089
80,907.194,1.43707,2.09467,1.40291,1.18642,0.50484,0.34346,0.3763,0.21016,0.35344,0.42541,0.3834,0.18614,1.83044,2.77329,2.13916,1.49185,0.000468283,0.000468283,0.000468283
81,918.259,1.40914,2.09793,1.37362,1.18312,0.48947,0.4055,0.39359,0.20825,0.46774,0.36643,0.40963,0.17567,1.89547,2.63077,2.11139,1.54435,0.000464476,0.000464476,0.000464476
82,929.532,1.39521,2.05814,1.37766,1.17364,0.46984,0.41856,0.40208,0.20781,0.40455,0.37981,0.36209,0.20112,1.89406,2.64895,2.13968,1.54717,0.000460669,0.000460669,0.000460669
83,940.779,1.38549,2.06104,1.37322,1.1641,0.37166,0.46503,0.40985,0.2069,0.35931,0.46177,0.40597,0.20342,1.89697,2.67029,2.10316,1.52377,0.000456863,0.000456863,0.000456863
84,951.739,1.38536,2.01602,1.35698,1.16403,0.43976,0.3632,0.37111,0.18508,0.32525,0.43031,0.38952,0.16811,1.78384,2.71864,2.25284,1.52411,0.000453056,0.000453056,0.000453056
85,963.118,1.39877,2.0496,1.36211,1.17262,0.37497,0.4017,0.35348,0.20781,0.65979,0.36207,0.38473,0.19713,1.77896,2.5513,2.22989,1.46594,0.00044925,0.00044925,0.00044925
86,974.458,1.39741,2.02207,1.37417,1.16743,0.47607,0.40921,0.39776,0.24755,0.5109,0.43717,0.41979,0.20524,1.75611,2.57907,2.04308,1.489,0.000445443,0.000445443,0.000445443
87,985.37,1.35299,1.96687,1.27855,1.15309,0.40929,0.34834,0.37857,0.2152,0.48506,0.37191,0.38659,0.18761,1.82992,2.70056,2.20038,1.52722,0.000441637,0.000441637,0.000441637
88,996.635,1.35567,2.02286,1.3149,1.15539,0.48821,0.42947,0.44606,0.25713,0.48376,0.42042,0.4387,0.20276,1.8008,2.6715,2.01379,1.47357,0.00043783,0.00043783,0.00043783
89,1007.81,1.36496,1.96717,1.29607,1.15391,0.40741,0.49184,0.40722,0.25053,0.37324,0.41262,0.36799,0.19931,1.79866,2.77788,2.09475,1.49585,0.000434024,0.000434024,0.000434024
90,1018.82,1.3453,1.98509,1.29794,1.15318,0.39246,0.39702,0.38089,0.2144,0.46261,0.39993,0.42239,0.19795,1.87428,2.59432,2.07812,1.5005,0.000430217,0.000430217,0.000430217
91,1030,1.33368,1.96792,1.27088,1.15001,0.386,0.45642,0.38771,0.23841,0.41476,0.46268,0.4104,0.2061,1.86207,2.64116,2.06207,1.50918,0.000426411,0.000426411,0.000426411
92,1041.09,1.33457,2.02953,1.27061,1.14121,0.46706,0.4638,0.42809,0.2551,0.45396,0.44516,0.43227,0.23081,1.81903,2.62351,1.97397,1.4995,0.000422604,0.000422604,0.000422604
93,1052.19,1.32776,1.96315,1.27558,1.14534,0.54979,0.33938,0.40989,0.24097,0.42137,0.43028,0.42475,0.22341,1.81858,2.67366,2.09303,1.44632,0.000418797,0.000418797,0.000418797
94,1063.51,1.35449,2.0187,1.30845,1.15362,0.58212,0.31126,0.41097,0.22443,0.46089,0.35533,0.40209,0.20676,1.83427,2.63548,2.04937,1.51592,0.000414991,0.000414991,0.000414991
95,1074.68,1.34359,1.94731,1.25569,1.14165,0.39584,0.46184,0.40122,0.24244,0.63927,0.36508,0.45175,0.19479,1.91091,2.78555,2.09817,1.53935,0.000411184,0.000411184,0.000411184
96,1085.8,1.34254,1.93425,1.29891,1.15223,0.51162,0.39591,0.43194,0.24493,0.53673,0.34922,0.42718,0.21881,1.93457,2.70192,2.13873,1.53514,0.000407378,0.000407378,0.000407378
97,1097.16,1.3292,1.94119,1.26565,1.13827,0.33675,0.49412,0.39591,0.2369,0.3901,0.45008,0.4205,0.1922,1.77434,2.69794,2.09598,1.45686,0.000403571,0.000403571,0.000403571
98,1108.36,1.3105,1.93016,1.22625,1.12994,0.56367,0.40029,0.43064,0.24497,0.56079,0.42418,0.44754,0.20473,1.84267,2.68644,1.98525,1.48691,0.000399765,0.000399765,0.000399765
99,1119.35,1.30982,1.94253,1.24117,1.13093,0.39441,0.501,0.44344,0.26053,0.41469,0.48542,0.43615,0.21679,1.81262,2.63441,1.96816,1.46532,0.000395958,0.000395958,0.000395958
100,1130.67,1.31741,1.90408,1.2272,1.12872,0.48969,0.39222,0.40708,0.22097,0.32806,0.46548,0.37465,0.20505,1.87748,2.74184,2.11892,1.52555,0.000392152,0.000392152,0.000392152
101,1141.99,1.30695,1.88373,1.22234,1.13686,0.5372,0.39476,0.38904,0.22587,0.47984,0.36893,0.37405,0.2013,1.84505,2.78874,2.19348,1.49613,0.000388345,0.000388345,0.000388345
102,1152.92,1.32026,1.96103,1.22565,1.12732,0.3921,0.46761,0.4314,0.24385,0.38997,0.42859,0.41455,0.21673,1.84092,2.61235,2.02868,1.49813,0.000384538,0.000384538,0.000384538
103,1164.23,1.27777,1.9102,1.19727,1.1173,0.37166,0.40738,0.40116,0.24036,0.37737,0.4074,0.41966,0.22018,1.8743,2.58838,2.03233,1.53104,0.000380732,0.000380732,0.000380732
104,1175.55,1.30057,1.87726,1.2167,1.12973,0.40462,0.40406,0.41652,0.24043,0.44414,0.3535,0.40381,0.21495,1.86447,2.82615,2.09946,1.50482,0.000376925,0.000376925,0.000376925
105,1186.73,1.29469,1.92084,1.20109,1.12046,0.49079,0.47012,0.44736,0.23696,0.50133,0.48377,0.44521,0.22513,1.86487,2.53122,1.9735,1.51473,0.000373119,0.000373119,0.000373119
106,1198.01,1.29741,1.92109,1.19958,1.1204,0.46091,0.44121,0.44968,0.23918,0.4606,0.44596,0.44335,0.22266,1.78358,2.64192,2.01647,1.47854,0.000369312,0.000369312,0.000369312
107,1209.4,1.29615,1.87752,1.19078,1.12443,0.39111,0.48189,0.43856,0.2423,0.58531,0.42621,0.44371,0.23257,1.88528,2.72317,2.01753,1.51793,0.000365506,0.000365506,0.000365506
108,1220.6,1.28486,1.84312,1.20095,1.12372,0.52622,0.40349,0.42536,0.22955,0.55382,0.35293,0.39981,0.21091,1.89359,2.66094,2.14362,1.52591,0.000361699,0.000361699,0.000361699
109,1231.79,1.24698,1.81604,1.16004,1.11009,0.41338,0.3354,0.40589,0.22054,0.43451,0.32818,0.38806,0.20189,1.82772,2.64882,2.20175,1.5337,0.000357893,0.000357893,0.000357893
110,1243.19,1.26952,1.83275,1.15384,1.10689,0.48734,0.40641,0.43403,0.24687,0.45441,0.38151,0.40056,0.19525,1.90045,2.76839,2.06747,1.52081,0.000354086,0.000354086,0.000354086
111,1254.14,1.26279,1.86511,1.16577,1.10562,0.38748,0.41337,0.37873,0.22963,0.38639,0.39508,0.39589,0.20842,1.80684,2.71849,2.11632,1.48365,0.00035028,0.00035028,0.00035028
112,1265.36,1.27371,1.8517,1.16096,1.11004,0.42589,0.43604,0.40358,0.23276,0.40275,0.44516,0.40197,0.20599,1.89812,2.68742,2.07168,1.54682,0.000346473,0.000346473,0.000346473
113,1276.9,1.3086,1.88435,1.18806,1.11626,0.4692,0.4405,0.43975,0.25146,0.44499,0.36806,0.3799,0.20725,1.94811,2.74759,2.15541,1.56021,0.000342666,0.000342666,0.000342666
