epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,974.702,1.42309,2.02185,1.30164,1.27607,0.73364,0.37407,0.42335,0.19287,0.43558,0.44358,0.42039,0.21381,2.01775,2.97666,2.35427,1.81408,0.000707589,0.000707589,0.000707589
57,991.509,1.4572,2.05321,1.33901,1.28854,0.49084,0.41512,0.44356,0.25794,0.49233,0.41975,0.44161,0.23668,1.85354,2.88864,2.17438,1.71813,0.000705401,0.000705401,0.000705401
58,1009.07,1.44228,2.07913,1.34925,1.28444,0.44675,0.43799,0.43054,0.22735,0.39971,0.49883,0.43251,0.20766,1.93207,2.84026,2.10819,1.78492,0.000703177,0.000703177,0.000703177
59,1026.17,1.40356,1.98333,1.30543,1.26461,0.45842,0.30729,0.36586,0.17033,0.52215,0.39533,0.44571,0.21264,1.95796,2.63417,2.3598,1.69731,0.00070092,0.00070092,0.00070092
60,1043.15,1.39165,1.99983,1.27808,1.25806,0.42333,0.36565,0.34657,0.17795,0.37182,0.38318,0.35118,0.15082,2.05812,2.88046,2.57929,1.78699,0.000698627,0.000698627,0.000698627
61,1060.19,1.41089,2.02679,1.32758,1.25731,0.37181,0.40818,0.38284,0.19996,0.29471,0.41967,0.37922,0.18898,1.82892,2.7422,2.32555,1.72969,0.000696301,0.000696301,0.000696301
62,1077.29,1.37848,1.94138,1.23565,1.24124,0.47253,0.40349,0.39342,0.22066,0.49503,0.43241,0.42281,0.20277,1.82148,2.945,2.38897,1.68255,0.000693941,0.000693941,0.000693941
63,1094.33,1.36468,1.93993,1.22465,1.2366,0.47361,0.43831,0.35047,0.18429,0.4336,0.40687,0.36321,0.16715,1.92288,2.87192,2.52148,1.7377,0.000691548,0.000691548,0.000691548
64,1111.45,1.3879,1.94845,1.24315,1.25361,0.40143,0.34876,0.36247,0.1799,0.45808,0.42253,0.43956,0.18784,2.06877,2.92199,2.4032,1.81921,0.000689121,0.000689121,0.000689121
65,1128.52,1.36423,1.93601,1.24033,1.22977,0.37529,0.32747,0.33353,0.16526,0.36351,0.36985,0.38235,0.16387,2.04793,2.66337,2.25651,1.89082,0.000686662,0.000686662,0.000686662
66,1145.68,1.32865,1.90374,1.20075,1.22128,0.44684,0.36632,0.35102,0.16545,0.38175,0.35461,0.36787,0.16406,2.02616,2.74606,2.04577,1.88076,0.000684169,0.000684169,0.000684169
67,1162.76,1.32783,1.89679,1.17999,1.20587,0.49983,0.36834,0.41639,0.22997,0.63447,0.33569,0.41464,0.20854,2.09244,2.89552,2.15147,1.88734,0.000681645,0.000681645,0.000681645
68,1179.85,1.32388,1.90648,1.17359,1.20804,0.39685,0.4,0.33232,0.17979,0.47565,0.40108,0.42724,0.21303,2.03519,2.84299,2.37532,1.87739,0.000679088,0.000679088,0.000679088
