epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,635.192,1.67024,2.44975,1.72752,1.28978,0.37532,0.50679,0.414,0.21484,0.32472,0.4601,0.3718,0.19618,1.90231,3.0092,2.23511,1.54136,0.00073445,0.00073445,0.00073445
43,650.07,1.67595,2.40189,1.76564,1.31476,0.41394,0.52531,0.47455,0.26141,0.35266,0.5109,0.44557,0.22525,1.84248,2.98671,2.0663,1.49707,0.000732772,0.000732772,0.000732772
44,665.036,1.64829,2.37227,1.70052,1.27939,0.38929,0.47306,0.39945,0.21016,0.47758,0.48741,0.46218,0.20674,1.88424,2.81095,2.31438,1.48576,0.000731056,0.000731056,0.000731056
45,679.733,1.66973,2.37552,1.70944,1.29298,0.36197,0.44089,0.34241,0.15866,0.42298,0.3769,0.34837,0.15318,1.87225,2.79149,2.42259,1.52425,0.000729302,0.000729302,0.000729302
46,694.58,1.6602,2.36962,1.68694,1.29227,0.45667,0.51279,0.4164,0.20976,0.45011,0.44286,0.42679,0.19603,1.95282,2.96096,2.19997,1.52958,0.000727511,0.000727511,0.000727511
47,709.367,1.64982,2.31889,1.67256,1.28486,0.58448,0.46234,0.41559,0.20503,0.52776,0.45804,0.39546,0.18188,1.82239,2.74131,1.96717,1.43518,0.000725683,0.000725683,0.000725683
48,724.085,1.64195,2.33371,1.67156,1.28329,0.43153,0.51655,0.33084,0.15515,0.49516,0.40762,0.33569,0.14995,1.8789,2.96339,2.30395,1.43173,0.000723818,0.000723818,0.000723818
49,738.72,1.6058,2.29225,1.58611,1.25372,0.45378,0.49512,0.38152,0.16532,0.41713,0.44935,0.34724,0.13574,2.00122,3.08613,2.38901,1.60696,0.000721916,0.000721916,0.000721916
50,753.389,1.60855,2.31754,1.62865,1.27905,0.38387,0.52642,0.43883,0.21953,0.37059,0.45833,0.36477,0.1918,1.91306,3.0047,2.16137,1.51029,0.000719977,0.000719977,0.000719977
51,768.239,1.58402,2.27944,1.62733,1.24503,0.4174,0.49117,0.42614,0.20335,0.43398,0.49668,0.39094,0.19909,1.91981,3.04559,2.32705,1.46212,0.000718002,0.000718002,0.000718002
