epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,771.372,1.59019,2.51409,1.94889,1.34389,0.26692,0.37742,0.25425,0.10442,0.32306,0.40374,0.32224,0.1068,2.24427,3.30103,2.81102,1.8695,0.000990249,0.000990249,0.000990249
45,787.693,1.57912,2.58309,1.92303,1.33782,0.18501,0.32509,0.19135,0.09414,0.19259,0.27521,0.15234,0.06585,2.07701,3.23472,2.86081,1.7814,0.000984795,0.000984795,0.000984795
46,804.36,1.54054,2.42245,1.89817,1.32642,0.28097,0.24905,0.20635,0.11995,0.5384,0.22646,0.24648,0.12628,2.16621,3.4051,2.81675,1.90778,0.000979236,0.000979236,0.000979236
47,821.13,1.54673,2.51157,1.87815,1.32954,0.30496,0.31037,0.2595,0.12456,0.34606,0.29223,0.2516,0.10617,2.14465,3.37194,2.70109,1.81834,0.000973575,0.000973575,0.000973575
48,838.031,1.5399,2.48546,1.78302,1.30367,0.29042,0.38159,0.24635,0.11705,0.29166,0.37794,0.24118,0.12073,2.00492,3.10906,2.77834,1.79717,0.000967811,0.000967811,0.000967811
49,855.265,1.50443,2.3855,1.76901,1.30689,0.63674,0.2605,0.26779,0.13128,0.59185,0.24755,0.24408,0.13265,2.09617,3.28929,2.7869,1.77967,0.000961948,0.000961948,0.000961948
50,872.667,1.58264,2.46678,1.84272,1.3156,0.27602,0.30838,0.22288,0.11777,0.26223,0.29569,0.21637,0.12141,2.10312,3.29551,2.81999,1.81352,0.000955985,0.000955985,0.000955985
51,890.138,1.50104,2.42869,1.75472,1.30351,0.35544,0.29736,0.22839,0.1168,0.83943,0.19693,0.25076,0.12556,2.11667,3.79183,3.00974,1.7597,0.000949925,0.000949925,0.000949925
52,907.49,1.50327,2.41407,1.7629,1.2962,0.32468,0.31958,0.25091,0.12487,0.34415,0.31748,0.22002,0.10369,2.0688,3.71166,2.64361,1.77469,0.000943769,0.000943769,0.000943769
53,925.593,1.532,2.53356,1.81031,1.29925,0.42251,0.29749,0.24546,0.13819,0.41326,0.30066,0.24674,0.13161,2.01063,3.18933,2.76765,1.68383,0.000937518,0.000937518,0.000937518
